"","tamoxifen","MK-1775","leptomycin B"
"MB-0000",14.0865495297524,10.568499621427,9.83937527633705
"MB-0002",13.9738534736503,13.7296027744264,10.5977647768421
"MB-0005",13.9613740793108,13.8773351110518,13.8773501011521
"MB-0006",13.8948867964102,12.2810995693994,12.3726343961003
"MB-0008",13.952409651295,10.507292779805,10.2749273540236
"MB-0010",14.0347493741506,12.7077916539353,11.4462363579412
"MB-0014",14.0427588219257,12.5686560290871,10.3694745208599
"MB-0020",14.0332967757022,11.487962249682,9.88359081475534
"MB-0022",13.9717483971226,10.0209543834791,5.95416249885187
"MB-0025",14.0947929139887,9.33185997913053,3.93567394740329
"MB-0028",13.9533583754815,11.2302670597542,8.37325254920471
"MB-0035",13.8859438303687,12.3780952423001,7.18314326287956
"MB-0036",13.9746620918302,13.3120706451476,10.7623734073254
"MB-0039",13.8952281637114,11.929079082429,6.72417679474103
"MB-0045",14.0733843552271,7.68644275593576,1.86967917686477
"MB-0046",13.9786291208776,12.2042961581571,7.86679752852381
"MB-0048",14.0807646404883,8.86594863490213,5.92965975086908
"MB-0050",13.9831438198544,10.9939471856857,6.18343554175534
"MB-0053",13.9693083991327,10.871070716675,7.44838088691543
"MB-0054",13.9671262226314,9.84281518383309,4.43235043034378
"MB-0056",14.0449125283007,13.1668045806007,10.658424592502
"MB-0059",13.9529114869406,13.3138971965466,15.1839510775199
"MB-0060",14.0745374998027,9.90380923842932,2.43433661987254
"MB-0062",14.1108800076954,8.44000358945971,2.47400558283771
"MB-0064",14.0269873275612,12.2393837084854,3.21063804383646
"MB-0066",13.9659975075483,11.3951293881565,8.74686448602625
"MB-0068",13.9198354478473,12.6416042763961,10.8190339350302
"MB-0071",14.1074782326759,11.5535338361601,8.27589916456146
"MB-0079",14.1206004534786,11.6903276898201,8.51544163442621
"MB-0081",13.9990564319903,9.83785670119077,3.54751728987258
"MB-0083",14.0481782865838,12.658996738993,14.8579129908305
"MB-0093",13.8938403573479,11.4592267743126,5.50721427087484
"MB-0095",13.950108433648,13.8975588623999,7.25251553267968
"MB-0097",13.911868838989,13.6176845956789,22.0758394657809
